iter	RMSE
0	14.61840233
1	14.23986004
2	13.85533494
3	13.50841456
4	13.1662047
5	12.84058092
6	12.52334698
7	12.21222214
8	11.93957423
9	11.65685636
10	11.38061656
11	11.10195947
12	10.85974729
13	10.62300956
14	10.39625436
15	10.19225445
16	9.984648899
17	9.778188738
18	9.582428618
19	9.392051533
20	9.244860072
21	9.080937395
22	8.914895866
23	8.766632177
24	8.635888023
25	8.497804238
26	8.358029656
27	8.229819801
28	8.108265328
29	7.987131094
30	7.863301395
31	7.743296184
32	7.634652877
33	7.540964493
34	7.446909248
35	7.34531717
36	7.256310999
37	7.171172281
38	7.088745624
39	7.014178061
40	6.945113429
41	6.882669091
42	6.826595305
43	6.769345736
44	6.703724269
45	6.649153155
46	6.591951335
47	6.538432969
48	6.491227308
49	6.445006659
50	6.402792673
51	6.356439863
52	6.314145694
53	6.276856586
54	6.243008828
55	6.212568169
56	6.178991424
57	6.152526459
58	6.123405841
59	6.094985284
60	6.068307008
61	6.04555893
62	6.017566292
63	5.996401526
64	5.971592774
65	5.949293462
66	5.926911706
67	5.911202149
68	5.890249048
69	5.87350635
70	5.854524361
71	5.831223317
72	5.816032278
73	5.797723067
74	5.778918364
75	5.76092274
76	5.750151796
77	5.734678933
78	5.718418313
79	5.706902724
80	5.6916045
81	5.678313217
82	5.663922453
83	5.654774781
84	5.641612375
85	5.630075623
86	5.619630747
87	5.60583285
88	5.598338834
89	5.590529329
90	5.581878744
91	5.57334618
92	5.564308633
93	5.553758899
94	5.543862443
95	5.537068551
96	5.527586566
97	5.520723377
98	5.511705522
99	5.503633619
100	5.496265993
101	5.491052081
102	5.484297085
103	5.479205247
104	5.470876717
105	5.466436178
106	5.460466354
107	5.453668036
108	5.449173339
109	5.442995358
110	5.437962757
111	5.433433126
112	5.428619501
113	5.423888209
114	5.419491567
115	5.41539376
116	5.411308282
117	5.408420909
118	5.404561418
119	5.39982105
120	5.396682725
121	5.391171409
122	5.387128245
123	5.381737336
124	5.379434785
125	5.375952784
126	5.370127837
127	5.366775676
128	5.36384059
129	5.360491874
130	5.357806496
131	5.352527817
132	5.349636526
133	5.345789828
134	5.343847728
135	5.340803028
136	5.337714982
137	5.33484222
138	5.331510105
139	5.326502667
140	5.324000768
141	5.319611536
142	5.317324208
143	5.313386413
144	5.312944813
145	5.307033625
146	5.302489042
147	5.296102035
148	5.291144593
149	5.286675857
150	5.281535397
151	5.277408806
152	5.275171185
153	5.271988185
154	5.267643451
155	5.265450065
156	5.262162526
157	5.256689159
158	5.254035083
159	5.247651423
160	5.245371416
161	5.24356666
162	5.238582029
163	5.236864693
164	5.233945673
165	5.229033432
166	5.225642668
167	5.223022563
168	5.220879121
169	5.217650437
170	5.215986191
171	5.214257882
172	5.206019691
173	5.201731696
174	5.200278134
175	5.19583136
176	5.193408107
177	5.190167444
178	5.186566464
179	5.182490073
180	5.179988941
181	5.177256323
182	5.174532111
183	5.171610067
184	5.167274202
185	5.162405213
186	5.157412364
187	5.154946807
188	5.149374826
189	5.145696195
190	5.141029202
